INSERT INTO `item_template` (`id`, `TYPE`, `gender`, `NAME`, `description`, `icon_id`, `part`, `is_up_to_up`, `power_require`, `gold`, `gem`, `head`, `body`, `leg`, `ruby`) VALUES
(0, 0, 0, 'Áo vải 3 lỗ', 'Giúp giảm sát thương', 390, 14, 0, 1200, 500, 0, -1, -1, -1, 0),
(1, 0, 1, 'Áo sợi len', 'Giúp giảm sát thương', 393, 10, 0, 1200, 500, 0, -1, -1, -1, 0),
(2, 0, 2, 'Áo vải thô', 'Giúp giảm sát thương', 392, 16, 0, 1200, 500, 0, -1, -1, -1, 0),
(3, 0, 0, 'Áo vải dày', 'Giúp giảm sát thương', 389, 1, 0, 26000, 10000, 0, -1, -1, -1, 0),
(4, 0, 1, 'Áo len Pico', 'Giúp giảm sát thương', 394, 12, 0, 26000, 10000, 0, -1, -1, -1, 0),
(5, 0, 2, 'Áo giáp sắt', 'Giúp giảm sát thương', 391, 7, 0, 26000, 10000, 0, -1, -1, -1, 0),
(6, 1, 0, 'Quần vải đen', 'Giúp tăng HP', 396, 15, 0, 1000, 400, 0, -1, -1, -1, 0),
(7, 1, 1, 'Quần sợi len', 'Giúp tăng HP', 398, 11, 0, 1000, 400, 0, -1, -1, -1, 0),
(8, 1, 2, 'Quần vải thô', 'Giúp tăng HP', 400, 17, 0, 1000, 400, 0, -1, -1, -1, 0),
(9, 1, 0, 'Quần vải dày', 'Giúp tăng HP', 395, 2, 0, 22000, 8000, 0, -1, -1, -1, 0),
(10, 1, 1, 'Quần vải thô Pico', 'Giúp tăng HP', 397, 13, 0, 22000, 8000, 0, -1, -1, -1, 0),
(11, 1, 2, 'Quần giáp sắt', 'Giúp tăng HP', 399, 8, 0, 22000, 8000, 0, -1, -1, -1, 0),
(12, 4, 3, 'Rada cấp 1', 'Giúp tăng Chí Mạng', 1089, -1, 0, 1300, 600, 0, -1, -1, -1, 0),
(13, 6, 3, 'Đậu thần cấp 1', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(14, 12, 3, 'Ngọc Rồng 1 sao', 'Thu thập để ước rồng thần', 419, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(15, 12, 3, 'Ngọc Rồng 2 sao', 'Thu thập để ước rồng thần', 420, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(16, 12, 3, 'Ngọc Rồng 3 sao', 'Thu thập để ước rồng thần', 421, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(17, 12, 3, 'Ngọc Rồng 4 sao', 'Thu thập để ước rồng thần', 422, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(18, 12, 3, 'Ngọc Rồng 5 sao', 'Thu thập để ước rồng thần', 423, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(19, 12, 3, 'Ngọc Rồng 6 sao', 'Thu thập để ước rồng thần', 424, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(20, 12, 3, 'Ngọc Rồng 7 sao', 'Thu thập để ước rồng thần', 425, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(21, 2, 0, 'Găng vải đen', 'Giúp tăng sức đánh', 408, -1, 0, 1500, 700, 0, -1, -1, -1, 0),
(22, 2, 1, 'Găng sợi len', 'Giúp tăng sức đánh', 411, -1, 0, 1500, 700, 0, -1, -1, -1, 0),
(23, 2, 2, 'Găng vải thô', 'Giúp tăng sức đánh', 409, -1, 0, 1500, 700, 0, -1, -1, -1, 0),
(24, 2, 0, 'Găng thun đen', 'Giúp tăng sức đánh', 408, -1, 0, 15000, 7000, 0, -1, -1, -1, 0),
(25, 2, 1, 'Găng len Pico', 'Giúp tăng sức đánh', 412, -1, 0, 50000, 14000, 0, -1, -1, -1, 0),
(26, 2, 2, 'Găng sắt', 'Giúp tăng sức đánh', 410, -1, 0, 50000, 14000, 0, -1, -1, -1, 0),
(27, 3, 0, 'Giầy nhựa', 'Giúp tăng MP', 401, -1, 0, 800, 300, 0, -1, -1, -1, 0),
(28, 3, 1, 'Giầy sợi len', 'Giúp tăng MP', 405, -1, 0, 800, 300, 0, -1, -1, -1, 0),
(29, 3, 2, 'Giầy vải thô', 'Giúp tăng MP', 403, -1, 0, 800, 300, 0, -1, -1, -1, 0),
(30, 3, 0, 'Giầy cao su', 'Giúp tăng MP', 401, -1, 0, 8000, 3000, 0, -1, -1, -1, 0),
